Name,Short,Korean Name,Gender,Debut,Company,Members,Orig Memb,Fanclub Name,Active
Ladies' Code,LC,레이디스 코드,Female,7/03/2013,Polaris,3,5,Lavely,Hiatus
Lapillus,,라필루스,Female,22/06/2022,MLD,6,6,LAPIS,Yes
LE SSERAFIM,,르세라핌,Female,2/05/2022,Source,5,6,FEARNOT,Yes
LIGHTSUM,,라잇썸,Female,10/06/2021,Cube,6,8,SUMIT,Yes
LIMELIGHT,,라임라잇,Female,17/02/2023,143,3,3,,Yes
Limitless,,리미트리스,Male,9/07/2019,ONO,4,4,,Yes
LipBubble,,립버블,Female,22/03/2017,Zenith,7,7,,No
Loona,LOOΠΔ,이달의 소녀,Female,20/08/2018,Blockberry,12,12,,Yes
Lovelyz,,러블리즈,Female,17/11/2014,Woollim,8,8,Lovelinus,No
LU:KUS,,루커스,Male,4/07/2014,JWK,4,5,,Yes
Lucente,,루첸트,Male,18/09/2018,NOGA,7,7,,Yes
LUMINOUS,LMN,루미너스,Male,9/09/2021,Barunson,4,4,,Yes
LUNARSOLAR,,루나솔라,Female,2/09/2020,J Planet,4,4,Haedal,No
Lusty,,러스티,Female,26/06/2019,babaplay,5,5,,Yes
M.I.B,,엠아이비,Male,26/10/2011,Jungle,4,4,,No
M.O.N.T,MONT,몬트,Male,4/01/2019,FM,3,3,,Yes
Madtown,,매드타운,Male,6/10/2014,GNI,7,7,,No
MAJORS,,메이져스,Female,9/03/2021,ANS,6,6,MVP,Yes
Maka Maka,,마카마카,Female,4/08/2020,Dreamus,5,5,,Yes
Mamamoo,,마마무,Female,18/06/2014,RBW,4,4,Moomoo,Yes
MAP6,,맵식스,Male,10/11/2015,DreamT,5,5,,Yes
Marmello,,마르멜로,Female,24/05/2017,Rolling,5,5,,No
Masc,,마스크,Male,19/08/2016,JJ Holic,4,8,,Yes
Matilda,,마틸다,Female,18/03/2016,Box,4,4,,No
MBLAQ,,엠블랙,Male,14/10/2009,J. Tune,3,5,A+,Yes
MCND,,엠씨엔디,Male,27/02/2020,TOP Media,5,5,,Yes
Melody Day,,멜로디데이,Female,25/02/2014,Cre.Ker,4,3,,No
Melody Pink,,멜로디핑크,Female,25/09/2019,KD,4,4,,Yes
Mfect,M.fect,엠펙트,Male,27/04/2015,Midas,5,5,,Yes
mimiirose,,미미로즈,Female,16/09/2022,YES IM,5,5,bloomii,Yes
Minx,,밍스,Female,18/09/2014,Happy Face,5,5,,No
MIRAE,,미래소년,Male,17/03/2021,DSP,7,7,,Yes
miss A,,미쓰에이,Female,1/07/2010,JYP,3,4,Say A,No
Mixx,,믹스,Female,2/05/2016,Chiko,5,4,,No
Momoland,,모모랜드,Female,9/11/2016,Double Kick,6,7,,Yes
MONSTA X,,몬스타엑스,Male,14/05/2014,Starship,6,7,Monbebe,Yes
MR.MR,,미스터미스터,Male,4/10/2012,WinningIn,6,5,,Yes
MustB,,머스트비,Male,21/01/2019,MustM,7,7,,Yes
MVP,,엠브이피,Male,13/03/2017,PH,6,7,,Yes
MXM,,엠엑스엠,Male,6/09/2017,Brand New,2,2,,Yes
MY.st,,마이스트,Male,26/03/2020,MYStar,5,5,,No
myB,,마이비,Female,25/08/2015,Maroo,6,6,,No
MYNAME,,마이네임,Male,27/10/2011,H2,5,5,MYgirl,Yes
Myteen,,마이틴,Male,26/07/2017,The Music Works,6,7,,No
N.CUS,,엔쿠스,Male,27/08/2019,Kyuri,12,12,,Yes
N.Flying,,엔플라잉,Male,20/05/2015,FNC,4,4,N.Fia,Yes
Nature,,네이처,Female,3/08/2018,n.CH,9,9,,Yes
NCT,,엔시티,Male,9/04/2016,SM,23,23,NCTzen,Yes
NeonPunch,,네온펀치,Female,27/06/2018,A100,5,5,,No
NewJeans,NWJNS,뉴진스,Female,22/07/2022,ADOR,5,5,Bunnies,Yes
Newkidd,,뉴키드,Male,25/04/2019,J-FLO,7,7,,Yes
NINE.i,,나인아이,Male,30/03/2022,FirstOne,10,10,,Yes
NMIXX,,엔믹스,Female,22/02/2022,JYP,6,7,NSWER,Yes
Noir,,느와르,Male,9/04/2018,LUK,9,9,,Yes
N-Sonic,,엔소닉,Male,5/10/2011,C2K,6,5,,No
NTB,,엔티비,Male,28/05/2018,High Choice,6,6,,Yes
N-Train,,엔트레인,Male,27/05/2011,MediaLine,5,5,,No
NU'EST,,뉴이스트,Male,15/03/2012,Pledis,5,5,LOΛΕ,Yes
O21,,오투원,Female,21/06/2016,Houxiu,3,6,,No
OFF THE CUFF,,오프더커프,Male,2/04/2020,Purple,5,5,,No
Oh My Girl,OHMG,오마이걸,Female,21/04/2015,WM,6,8,Miracle,Yes
OhBliss,,오블리스,Female,17/10/2016,JT Corea,5,5,,Yes
Oneus,,원어스,Male,9/01/2019,RBW,5,6,,Yes
ONF,,온앤오프,Male,2/08/2017,WM,6,7,,Yes
OnlyOneOf,,온리원오브,Male,28/05/2019,RSVP,6,7,,Yes
P.O.P,,피오피,Female,26/07/2017,DWM,6,6,,No
P1Harmony,P1H,피원하모니,Male,28/10/2020,FNC,6,6,,Yes
PENTAGON,PTG,펜타곤,Male,10/10/2016,Cube,9,10,,Yes
Phantom,,팬텀,Male,25/11/2011,Brand New| RBW,3,3,,No
Pink Fantasy,,핑크판타지,Female,28/10/2018,My Doll,8,8,,Yes
PIXY,,픽시,Female,24/02/2021,ALLART,5,6,Winxy,Yes
Playback,,플레이백,Female,25/06/2015,Coridel,5,4,,No
Precious,PRCS,프레셔스,Female,23/09/2020,Umi,5,5,,Yes
PRIMROSE,,프림로즈,Female,13/03/2023,AO,1,2,,Yes
PRISMA,,프리즈마,Female,31/10/2020,UnionWave,5,5,,Yes
Pristin,,프리스틴,Female,21/03/2017,Pledis,10,10,,No
PRITTI-G,,프리티지,Female,31/08/2021,Enterrobang,6,6,,Yes
Pungdeng-E,,풍뎅이,Female,11/12/2013,DOMA,3,3,,Hiatus
Purple Kiss,,퍼플키스,Female,15/03/2021,RBW,6,7,,Yes
PURPLEBECK,,퍼플백,Female,24/06/2019,Majesty,5,5,Beckies,Yes
Queenz Eye,,퀸즈아이,Female,24/10/2022,Big Mountain,6,6,,Yes
Rainbow,,레인보우,Female,12/11/2009,DSP,7,7,,No
RAINZ,,레인즈,Male,12/10/2017,(Genie),7,7,Rainzer,No
Rania,,라니아,Female,6/04/2011,DR,5,8,,No
Red Velvet,RV,레드벨벳,Female,1/08/2014,SM,5,4,,Yes
REDSQUARE,RSQ,레드스퀘어,Female,19/05/2020,About,5,5,,Yes
Road Boyz,,로드 보이즈,Male,17/11/2015,Coconut,5,5,,No
Rocket Punch,,로켓펀치,Female,7/08/2019,Woollim,6,6,,Yes
Rockit Girl,,락킷걸,Female,30/05/2019,Rolling,2,2,,Yes
ROMEO,,로미오,Male,4/11/2015,CT,7,7,,Yes
Rose Finger,,로즈핑거,Female,3/10/2018,YC:Bros,4,4,,No
Rubber Soul,,러버소울,Female,10/02/2015,Happy Tribe,2,3,,No
Rumble-G,,럼블지,Female,14/07/2021,Winnerzone,4,4,,Yes
S.E.S,,에스.이.에스,Female,1/11/1997,SM,3,3,,No
S.I.S,,에스아이에스,Female,25/08/2017,Double X,6,6,,Yes
Saturday,,세러데이,Female,18/07/2018,SD,6,7,,Yes
SECHSKIES,6KIES,젝스키스,Male,15/04/1997,DSP| YG,5,6,Yellowkies,Yes
SECRET,,시크릿,Female,13/10/2009,TS,3,4,Secret Time,No
SECRET NUMBER,,시크릿넘버,Female,19/05/2020,Vine,5,5,,Yes
Seven O'Clock,SOC,세븐어클락,Male,16/03/2017,Staro| KDH,5,6,,No
Seventeen,SVT,세븐틴,Male,26/05/2015,Pledis,13,13,Carat,Yes
SF9,,에스에프나인,Male,5/10/2016,FNC,9,9,Fantasy,Yes
SG Wannabe,,SG 워너비,Male,20/01/2004,B2M,3,4,,Yes
Sha Sha,,샤샤,Female,27/02/2018,Major Ent,6,6,,No
